,hour,weekday,month,minutes_since_midnight,is_peak_hour,is_weekend,is_night,event_duration,cause_code,priority_score,road_closure,historical_frequency,location_frequency,zone_frequency,junction_frequency,police_frequency,hotspot_density,cluster_risk_score,cluster_risk_tier,avg_cluster_duration,planned_ratio,peak_hour_ratio,night_ratio,road_closure_ratio,recent_cluster_activity,dist_from_center
hour,1.0,-0.11779883277458827,0.009415565837445253,0.9994015319980634,0.25831717659090736,-0.10628336461718665,-0.37973966531722214,0.05875236828122544,-0.08785968632772041,-0.02927562404402926,-0.007383291187085295,-0.03675695328831003,0.05579352821577219,-0.05970098166081503,-0.0063725133764882215,0.015479838004970565,-0.025813244925150514,-0.027315921518096562,-0.04409194669259311,0.09225235233863499,0.09063789716598204,0.03623364779236549,-0.08650064723642317,-0.009194904090973772,-0.025830796454477428,-0.023071407034190927
weekday,-0.11779883277458827,1.0,0.05032641121975293,-0.11724030168866215,-0.00713426990596327,0.7718609897288166,0.04130333467379736,-0.017789134331212812,0.018371473503140893,0.01069514792559294,-0.0028025147163930862,0.001927862540214703,-0.02901184746707408,0.020496305432818024,-0.007419416012707272,-0.03144187371396759,-0.015731319284953093,-0.003147200828371618,0.01195283555744398,-0.057750378568768274,-0.048399026336395146,-0.011020114226909166,0.042714938124868186,-0.004513334338565211,-0.01671732800754061,-0.012085271248482797
month,0.009415565837445253,0.05032641121975293,1.0,0.009552535065249505,-0.040424227589542235,0.050020509267232574,0.05142780501296543,0.015466919826935356,-0.044811995539911186,-0.003475981271874981,-0.025943515076150447,0.020736550447955616,-0.031448205295325396,-0.6527496592537076,-0.39661132830953166,-0.01723018401329901,0.018346408428419385,-0.02983535488118942,-0.009591798689438826,0.0020641917251434955,0.021677990599900696,0.00770969756192875,0.013854108074906977,0.003254672279938284,0.0141802104482145,0.029665827370689707
minutes_since_midnight,0.9994015319980634,-0.11724030168866215,0.009552535065249505,1.0,0.2583405559377549,-0.1064176311099496,-0.3787312157461776,0.05879496512275034,-0.08736766513862876,-0.030021895136642437,-0.007612789108166738,-0.036415069216199206,0.054883303637787394,-0.05913120876663502,-0.0063542878101502396,0.015498975216181097,-0.025628479282092137,-0.028081788114366422,-0.044474809748687005,0.09169344753464352,0.0898865752132591,0.037177405332556576,-0.08683142011558834,-0.009656996472141048,-0.02564140996565428,-0.02292693424817909
is_peak_hour,0.25831717659090736,-0.00713426990596327,-0.040424227589542235,0.2583405559377549,1.0,-0.024264630765189133,-0.6467658077307127,0.003707695434308717,0.060987385311704397,0.04807656483279005,-0.007008522343399707,0.03798276141538814,0.016289200222770035,0.03757498514291056,0.035292271719384816,0.05617422774964524,-0.013482151890030013,0.0459378224771595,0.046283955921768836,0.03405783737098626,0.012898693775090266,0.25038050730952166,-0.17339769927672544,-0.011686238559179798,-0.014680284492164651,-0.009106105384367505
is_weekend,-0.10628336461718665,0.7718609897288166,0.050020509267232574,-0.1064176311099496,-0.024264630765189133,1.0,0.050547670329362464,-0.015485427951166732,0.002118737935992,0.016327136266343314,-0.017722244094168116,0.02052045344448456,-0.01770035422548799,0.0005889336627154766,-0.017680385835760214,-0.005439530200196312,-0.011302145185346339,0.01944907192203057,0.027745611345049905,-0.0548185407821401,-0.04506039820966952,-0.003800314309966737,0.02876988978740652,-0.015770896327988285,-0.012579943645531678,-0.0032721124660389555
is_night,-0.37973966531722214,0.04130333467379736,0.05142780501296543,-0.3787312157461776,-0.6467658077307127,0.050547670329362464,1.0,-0.04255748536312165,-0.04590564560456394,0.0026242669635990396,-0.034718682197680456,0.02524143146153106,-0.01831564771713548,-0.056179139971727104,-0.049125213692297505,-0.03604968945862354,0.008526503147529263,-0.004166667312387271,-0.006692637329123888,-0.06909246352720622,-0.06301291755638301,-0.18255315193714963,0.2630437888770551,-0.009957466980859425,0.00800264025295145,0.007105646466054527
event_duration,0.05875236828122544,-0.017789134331212812,0.015466919826935356,0.05879496512275034,0.003707695434308717,-0.015485427951166732,-0.04255748536312165,1.0,-0.31914178032907664,-0.012099553549593611,0.08151566680899403,-0.23112682596793482,0.11004726475374585,-0.02110098363932735,0.04264521626905377,0.09351912848652516,0.008308214108342765,-0.15261818473638117,-0.16391627284693305,0.43909423377147744,0.3646372315485195,0.042720423888589376,-0.10721148983579412,0.03623158825522416,0.009506661693056256,0.025881887980870256
cause_code,-0.08785968632772041,0.018371473503140893,-0.044811995539911186,-0.08736766513862876,0.060987385311704397,0.002118737935992,-0.04590564560456394,-0.31914178032907664,1.0,0.06536001994050598,-0.07237770326868205,0.7240257754985243,-0.08282613603478979,0.0717591950778701,-0.05083090396816565,-0.01431226188247114,-0.03170079901224096,0.1973546491560616,0.25044581880803773,-0.27115389622281216,-0.25305477283065236,0.1119680151403419,-0.07864280454312327,-0.020564127137154685,-0.02977573952159402,-0.0495719767274057
priority_score,-0.02927562404402926,0.01069514792559294,-0.003475981271874981,-0.030021895136642437,0.04807656483279005,0.016327136266343314,0.0026242669635990396,-0.012099553549593611,0.06536001994050598,1.0,-0.09788526271217372,0.12034178598093634,0.3073108944415539,-0.05432464605178415,-0.13179861021223782,0.26078578155325316,-0.20902929475066384,0.5862190516090188,0.5171395339118824,-0.011997875815425232,0.014844312190318447,0.1719256686354226,-0.055397689537125636,-0.2573537752860015,-0.22206181803433445,-0.2634304898142222
road_closure,-0.007383291187085295,-0.0028025147163930862,-0.025943515076150447,-0.007612789108166738,-0.007008522343399707,-0.017722244094168116,-0.034718682197680456,0.08151566680899403,-0.07237770326868205,-0.09788526271217372,1.0,-0.15810736236126396,-0.04546380462364164,0.018710528509618254,0.006910140005238426,-0.036094595652326415,0.057009040111291764,-0.053410531993245275,-0.04794107730049394,0.024218984227072332,0.058533563196278365,-0.020455931944145484,-0.004277993767393148,0.3070876492212375,0.058501521161658764,0.02606793884996559
historical_frequency,-0.03675695328831003,0.001927862540214703,0.020736550447955616,-0.036415069216199206,0.03798276141538814,0.02052045344448456,0.02524143146153106,-0.23112682596793482,0.7240257754985243,0.12034178598093634,-0.15810736236126396,1.0,0.009473878790754255,-0.06431103002892012,-0.1297571416792409,0.052491721414075376,-0.08177212169186072,0.2628781641192463,0.2909562988831499,-0.2015836474475527,-0.20281388243579537,0.10156418136283338,-0.04863184097419804,-0.06697657281696576,-0.08392921336669942,-0.06151671306256117
location_frequency,0.05579352821577219,-0.02901184746707408,-0.031448205295325396,0.054883303637787394,0.016289200222770035,-0.01770035422548799,-0.01831564771713548,0.11004726475374585,-0.08282613603478979,0.3073108944415539,-0.04546380462364164,0.009473878790754255,1.0,-0.056402838547849145,-0.04341591107989646,0.33583966601144255,-0.2541977900125457,0.2124328267106696,0.1666439223850971,0.26015750019112754,0.3167961617788259,0.023243931921475034,-0.07674593928886123,-0.12104760020734343,-0.2627367651648138,-0.3091424558281444
zone_frequency,-0.05970098166081503,0.020496305432818024,-0.6527496592537076,-0.05913120876663502,0.03757498514291056,0.0005889336627154766,-0.056179139971727104,-0.02110098363932735,0.0717591950778701,-0.05432464605178415,0.018710528509618254,-0.06431103002892012,-0.056402838547849145,1.0,0.59983914158651,-0.01796842847303496,0.03508418160857938,-0.03719736198874175,-0.02877001850383693,-0.002748412116896976,-0.014943713210409876,0.029585318387350523,-0.0864702429278257,0.011176503994682263,0.04225320964525794,0.07029582170245209
junction_frequency,-0.0063725133764882215,-0.007419416012707272,-0.39661132830953166,-0.0063542878101502396,0.035292271719384816,-0.017680385835760214,-0.049125213692297505,0.04264521626905377,-0.05083090396816565,-0.13179861021223782,0.006910140005238426,-0.1297571416792409,-0.04341591107989646,0.59983914158651,1.0,0.03466000963799554,0.11450826595699537,-0.13353001466759798,-0.12020723663610765,0.12939487437331587,0.09852471046154265,0.012473708526107172,-0.04824762378554252,0.006133544323808936,0.11835396484946817,0.12902055101276136
police_frequency,0.015479838004970565,-0.03144187371396759,-0.01723018401329901,0.015498975216181097,0.05617422774964524,-0.005439530200196312,-0.03604968945862354,0.09351912848652516,-0.01431226188247114,0.26078578155325316,-0.036094595652326415,0.052491721414075376,0.33583966601144255,-0.01796842847303496,0.03466000963799554,1.0,-0.107450877111319,0.19285368034512682,0.1830965181021017,0.20132017881908446,0.1872865260799767,0.2048645903543227,-0.16219611099494752,-0.05050665530635567,-0.11704063375467595,-0.15650035851344996
hotspot_density,-0.025813244925150514,-0.015731319284953093,0.018346408428419385,-0.025628479282092137,-0.013482151890030013,-0.011302145185346339,0.008526503147529263,0.008308214108342765,-0.03170079901224096,-0.20902929475066384,0.057009040111291764,-0.08177212169186072,-0.2541977900125457,0.03508418160857938,0.11450826595699537,-0.107450877111319,1.0,-0.1666812591404331,-0.04473670274409443,0.037424601679955025,-0.006972692955485585,-0.06052659345752145,0.014798055372107015,0.18098885210317633,0.9982934817991456,0.827199136813728
cluster_risk_score,-0.027315921518096562,-0.003147200828371618,-0.02983535488118942,-0.028081788114366422,0.0459378224771595,0.01944907192203057,-0.004166667312387271,-0.15261818473638117,0.1973546491560616,0.5862190516090188,-0.053410531993245275,0.2628781641192463,0.2124328267106696,-0.03719736198874175,-0.13353001466759798,0.19285368034512682,-0.1666812591404331,1.0,0.9127250612290354,-0.35027382629444587,-0.3353611309822072,0.2010816706615371,-0.005016588800959994,-0.17944697294409237,-0.18197552318507135,-0.19072725022561735
cluster_risk_tier,-0.04409194669259311,0.01195283555744398,-0.009591798689438826,-0.044474809748687005,0.046283955921768836,0.027745611345049905,-0.006692637329123888,-0.16391627284693305,0.25044581880803773,0.5171395339118824,-0.04794107730049394,0.2909562988831499,0.1666439223850971,-0.02877001850383693,-0.12020723663610765,0.1830965181021017,-0.04473670274409443,0.9127250612290354,1.0,-0.3730576622069882,-0.36848963340692503,0.1979549685702558,-0.018690136547629535,-0.16082269849913658,-0.05796230067356367,-0.09608339164361451
